sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,11,,良好,0.1,0.06,,12.8,15,,0.5,0.9,0.3,1.5,208,"2024-05-27 12:00",,0,1.1,10,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,29,,良好,0.2,0.14,22.3,14.5,10,4,3.6,5.8,2.2,1,95,"2024-05-27 12:00",,0.2,8.8,20,0,120.65525382,24.39017512,312
新北(樹林),新北市,55,細懸浮微粒,普通,0.9,0.29,37,15.0,21,14,11.7,13.8,2.1,0.2,171,"2024-05-27 12:00",,0.3,17.1,32,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,19,,良好,0.9,0.07,14.8,7.1,17,5,3.7,5.9,2.2,0.4,116,"2024-05-27 12:00",,0.1,6,14,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,19,,良好,0.4,0.14,12.2,6.0,17,,6.3,11.3,5,0.5,119,"2024-05-27 12:00",,0.1,2.9,19,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,18,,良好,1.2,0.22,8.2,4.9,10,3,11.3,18.9,7.6,1.1,94,"2024-05-27 12:00",,0.2,5.3,11,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,40,,良好,1.4,0.15,20.5,13.0,17,10,4.1,6.3,2.2,2,115,"2024-05-27 12:00",,0.2,12.4,25,1,120.56373,23.96117,201
大城,彰化縣,22,,良好,0.7,0.08,20.1,12.8,5,1,3.1,6,2.8,1.3,250,"2024-05-27 12:00",,0.1,6.9,18,1,120.26964167,23.85493056,85
富貴角,新北市,31,,良好,,0.18,56.9,34.4,,4,3.5,3.8,0.3,1.5,93,"2024-05-27 12:00",,0.1,5.3,17,0,121.53656894,25.29681695,84
麥寮,雲林縣,28,,良好,1.2,0.16,18.6,11.5,7,1,2.9,5.6,2.6,4.1,155,"2024-05-27 12:00",,0.2,8.5,17,1,120.251825,23.753506,83
關山,臺東縣,19,,良好,1.1,0.1,17.5,9.1,20,4,2.1,2.9,0.7,0.8,119,"2024-05-27 12:00",,0.1,2.5,19,0,121.161933,23.045083,80
馬公,澎湖縣,17,,良好,0.9,0.19,34.5,18.9,3,0,5.9,8.2,2.3,1.2,172,"2024-05-27 12:00",,0.1,1.7,6,1,119.566158,23.569031,78
金門,金門縣,13,,良好,0.7,0.14,14.5,13.0,4,5,6.3,9.7,3.4,3.3,200,"2024-05-27 12:00",,0.1,3.9,3,0,118.312256,24.432133,77
馬祖,連江縣,27,,良好,0.6,0.11,26.3,23.1,11,8,4.7,6.5,1.8,6,180,"2024-05-27 12:00",,0.1,8.3,15,0,119.93149378,26.15188416,75
埔里,南投縣,51,細懸浮微粒,普通,1,0.13,23,10.3,19,8,2,3.6,1.6,1.8,302,"2024-05-27 12:00",,0.2,15.7,31,1,120.967903,23.968842,72
復興,高雄市,23,,良好,2,0.26,14.2,8.3,,,14.2,21.4,7.2,1,289,"2024-05-27 12:00",,0.4,5.9,19,1,120.312017,22.608711,71
永和,新北市,42,,良好,1.2,0.78,52.6,18.2,29,19,25.2,31.4,6.2,1.2,15,"2024-05-27 12:00",,0.7,12.5,23,1,121.516306,25.017,70
竹山,南投縣,27,,良好,0.9,0.08,15.8,10.6,10,3,3.5,5.4,1.8,1.4,194,"2024-05-27 12:00",,0.1,8.4,20,1,120.677306,23.756389,69
中壢,桃園市,50,,良好,0.7,0.74,18.4,9.1,31,12,21.6,44.4,22.8,0.8,43,"2024-05-27 12:00",,1.1,15.3,30,1,121.221667,24.953278,68
三重,新北市,56,二氧化氮,普通,1,0.71,34.2,11.9,,14,38.8,60.3,21.4,-,-,"2024-05-27 12:00",,0.8,11.7,26,0,121.493806,25.072611,67
冬山,宜蘭縣,24,,良好,0.5,0.33,28.9,11.0,19,4,8.9,12.2,3.2,1.7,91,"2024-05-27 12:00",,0.2,4.6,24,0,121.792928,24.632203,66
宜蘭,宜蘭縣,17,,良好,0.7,0.19,30.5,14.6,7,2,2.7,3.9,1.1,1.9,33,"2024-05-27 12:00",,0.1,5.2,14,1,121.746394,24.747917,65
陽明,臺北市,25,,良好,0.9,0.29,44.1,27.8,23,13,6.5,7.7,1.1,,,"2024-05-27 12:00",,0.1,6.7,13,0,121.529583,25.182722,64
花蓮,花蓮縣,23,,良好,0.2,0.12,21.3,12.4,5,7,1.8,2.9,1.1,1.7,121,"2024-05-27 12:00",,0.1,7,9,0,121.599769,23.971306,63
臺東,臺東縣,19,,良好,0.2,0.2,19.5,11.3,21,3,3.6,6.3,2.7,3,178,"2024-05-27 12:00",,0.1,2.2,19,0,121.15045,22.755358,62
恆春,屏東縣,15,,良好,0,0.1,22.9,16.6,16,7,0.6,1.6,0.9,4.2,198,"2024-05-27 12:00",,0.1,4.3,11,0,120.788928,21.958069,61
潮州,屏東縣,21,,良好,0.8,0.08,20.6,9.2,16,2,1.7,2.1,0.4,2.7,227,"2024-05-27 12:00",,0.1,5.2,21,1,120.561175,22.523108,60
屏東,屏東縣,22,,良好,0.4,0.16,19.8,9.1,17,6,5.4,8.5,3,2.3,333,"2024-05-27 12:00",,0.2,5.7,22,0,120.488033,22.673081,59
小港,高雄市,38,,良好,1.4,0.17,13.6,5.4,13,12,9.2,14.5,5.2,1.1,158,"2024-05-27 12:00",,0.2,11.8,23,2,120.337736,22.565833,58
前鎮,高雄市,22,,良好,2.9,0.26,11.9,7.9,13,4,13.6,22.9,9.3,2,197,"2024-05-27 12:00",,0.3,5.6,20,1,120.30833356,22.6044507,57
前金,高雄市,19,,良好,1.4,0.17,16.9,9.9,21,5,8.5,13,4.4,2.2,181,"2024-05-27 12:00",,0.3,4.5,19,0,120.28676111,22.63390278,56
左營,高雄市,31,,良好,2.1,0.27,18.6,9.4,28,11,11.7,16.4,4.7,2.2,191,"2024-05-27 12:00",,0.3,9.7,20,1,120.292917,22.674861,54
楠梓,高雄市,21,,良好,0.8,0.15,14.5,4.9,15,6,9.2,13.5,4.3,0.5,69,"2024-05-27 12:00",,0.2,6.5,18,1,120.328289,22.733667,53
林園,高雄市,26,,良好,1,0.09,19.8,9.2,,,2.8,4.3,1.5,2.4,165,"2024-05-27 12:00",,0.1,6.9,26,1,120.41175,22.4795,52
大寮,高雄市,31,,良好,1.1,0.15,16.4,6.2,23,10,7.5,10.6,3.1,1,215,"2024-05-27 12:00",,0.2,9.4,27,2,120.425311,22.56413611,51
鳳山,高雄市,23,,良好,2,0.31,19.5,8.4,28,7,11.2,15.6,4.3,1.1,129,"2024-05-27 12:00",,0.3,5.9,23,1,120.357422,22.628126,50
仁武,高雄市,29,,良好,,0.17,,8.6,,8,8.1,10.7,2.5,1,64,"2024-05-27 12:00",,0.2,9,23,1,120.332631,22.689056,49
橋頭,高雄市,19,,良好,1.2,0.11,15.5,6.9,8,3,6.2,9.9,3.6,1,45,"2024-05-27 12:00",,0.1,5.9,13,1,120.305689,22.757506,48
美濃,高雄市,11,,良好,1.1,0.12,15.9,8.5,6,1,2.5,3.7,1.2,0.7,23,"2024-05-27 12:00",,0.1,0.9,11,0,120.530542,22.883583,47
臺南,臺南市,31,,良好,0.8,0.22,14.7,10.3,12,8,8.9,13.3,4.3,0.7,124,"2024-05-27 12:00",,0.2,9.4,14,0,120.21947897,22.98928311,46
安南,臺南市,32,,良好,1,0.24,15.9,9.2,16,9,7.9,13.7,5.7,2.6,120,"2024-05-27 12:00",,0.2,10,20,0,120.2175,23.048197,45
善化,臺南市,22,,良好,0.8,0.07,18.4,10.0,4,5,3.1,5.3,2.1,2.1,130,"2024-05-27 12:00",,0.1,6.7,12,0,120.29740529,23.11337642,44
新營,臺南市,17,,良好,0.1,0.17,17.6,9.6,8,0,4.4,7.5,3,0.5,5,"2024-05-27 12:00",,0.2,1.5,17,0,120.31725,23.305633,43
嘉義,嘉義市,15,,良好,1,0.16,16.8,10.3,10,1,5.2,7.3,2.1,1.9,117,"2024-05-27 12:00",,0.1,4.5,14,1,120.44125148,23.46477865,42
臺西,雲林縣,23,,良好,0.9,0.13,17.8,11.4,,,,,,3.9,149,"2024-05-27 12:00",,0.1,7.2,19,1,120.19933333,23.702175,41
朴子,嘉義縣,29,,良好,0.8,0.18,14.3,7.1,6,5,6.9,10.9,4,1.9,135,"2024-05-27 12:00",,0.2,8.9,15,1,120.2478,23.46538,40
新港,嘉義縣,28,,良好,0.4,0.31,16.5,12.4,9,6,9.7,15.2,5.5,1.4,102,"2024-05-27 12:00",,0.2,8.6,19,0,120.345531,23.554839,39
崙背,雲林縣,31,,良好,1.1,0.13,16,9.5,19,4,2,4.9,2.8,2.5,127,"2024-05-27 12:00",,0.1,9.5,19,1,120.348742,23.757547,38
斗六,雲林縣,21,,良好,0.8,0.19,9.7,11.4,4,1,5.7,8.8,3.1,1.1,146,"2024-05-27 12:00",,0.1,6.6,15,1,120.544994,23.711853,37
南投,南投縣,29,,良好,0.3,0.18,17.6,10.3,4,2,4.8,7.1,2.2,2.4,155,"2024-05-27 12:00",,0.1,8.9,23,0,120.685306,23.913,36
二林,彰化縣,38,,良好,0,0.11,20.6,12.1,9,4,1,2,0.9,3.2,158,"2024-05-27 12:00",,0.1,11.6,26,0,120.409653,23.925175,35
線西,彰化縣,32,,良好,0.5,0.11,23.1,13.0,9,2,2.9,5.1,2.2,4.2,200,"2024-05-27 12:00",,0.2,10,20,1,120.469061,24.131672,34
彰化,彰化縣,26,,良好,0.5,0.1,23.3,14.7,6,3,4,5.9,1.9,3.2,200,"2024-05-27 12:00",,0.1,8.1,15,1,120.541519,24.066,33
西屯,臺中市,40,,良好,1.1,0.11,23.3,10.5,10,5,4.7,6.9,2.2,1.9,186,"2024-05-27 12:00",,0.2,12.3,27,1,120.616917,24.162197,32
忠明,臺中市,32,,良好,0.7,0.18,19.7,12.0,21,0,6.9,10.5,3.5,1.8,177,"2024-05-27 12:00",,0.3,9.9,23,1,120.641092,24.151958,31
大里,臺中市,49,,良好,1.8,0.19,20.1,10.1,15,6,8.2,10.6,2.3,2,140,"2024-05-27 12:00",,0.3,15,27,1,120.67844444,24.09961111,30
沙鹿,臺中市,38,,良好,0.4,0.17,21.6,15.6,11,2,6.2,9.3,3,2.9,172,"2024-05-27 12:00",,0.2,11.6,23,1,120.568794,24.225628,29
豐原,臺中市,26,,良好,1.5,0.15,27.3,21.6,10,6,4.9,6.8,1.9,4.8,190,"2024-05-27 12:00",,0.1,7.9,14,1,120.74252414,24.25699731,28
三義,苗栗縣,22,,良好,0.9,0.15,20.1,20.0,15,7,4.7,6.8,2.1,5.6,187,"2024-05-27 12:00",,0.1,6.7,13,1,120.75956754,24.38248443,27
苗栗,苗栗縣,30,,良好,0.9,0.16,27.9,16.7,19,9,4,6.8,2.8,5,195,"2024-05-27 12:00",,0.1,9.1,19,1,120.82011468,24.56499183,26
頭份,苗栗縣,34,,良好,1.1,0.18,29.1,14.8,,,4.7,7.1,2.3,3.3,224,"2024-05-27 12:00",,0.2,10.6,23,1,120.89869286,24.69690679,25
新竹,新竹市,34,,良好,1.2,0.27,27.9,13.0,22,11,9.9,13.3,3.4,4.5,242,"2024-05-27 12:00",,0.3,10.4,22,0,120.97236752,24.8056356,24
竹東,新竹縣,40,,良好,0.6,0.16,32.3,15.7,13,9,3.2,4,0.8,2.7,240,"2024-05-27 12:00",,0.2,12.4,19,1,121.08895493,24.74091408,23
湖口,新竹縣,53,細懸浮微粒,普通,2,0.19,32,17.2,26,13,6.8,9.5,2.6,4.4,239,"2024-05-27 12:00",,0.2,16.4,23,1,121.03886894,24.90009696,22
龍潭,桃園市,37,,良好,0.5,0.19,30.7,15.9,13,7,6.2,8,1.8,1.1,262,"2024-05-27 12:00",,0.2,11.5,20,1,121.21645772,24.86400048,21
平鎮,桃園市,29,,良好,0.1,0.21,29.2,16.5,26,7,9.8,11.7,1.8,1.6,260,"2024-05-27 12:00",,0.2,8.9,25,0,121.203986,24.952786,20
觀音,桃園市,55,細懸浮微粒,普通,0.4,0.14,33.8,17.0,25,12,4.4,5.9,1.5,6.2,258,"2024-05-27 12:00",,0.2,17.3,25,0,121.08283092,25.03556747,19
大園,桃園市,40,,良好,1,0.19,38.5,16.4,27,4,6.3,8.6,2.3,4.7,241,"2024-05-27 12:00",,0.3,12.2,28,1,121.20251473,25.06100357,18
桃園,桃園市,40,,良好,1.2,0.22,36.6,16.2,14,8,7.1,9.1,1.9,2,318,"2024-05-27 12:00",,0.4,12.4,23,2,121.30500531,24.9947107,17
大同,臺北市,56,細懸浮微粒,普通,0.8,0.77,51.5,16.0,34,22,23.6,29.2,5.6,-,-,"2024-05-27 12:00",,0.9,17.7,31,1,121.51342074,25.06331455,16
松山,臺北市,43,,良好,0,0.23,48.4,20.0,15,11,8.7,11.2,2.5,1.5,295,"2024-05-27 12:00",,0.3,13.3,22,1,121.578611,25.05,15
古亭,臺北市,26,,良好,1.4,0.39,62.6,22.4,26,12,14,17.1,3.1,1,169,"2024-05-27 12:00",,0.2,8,22,1,121.529556,25.020608,14
萬華,臺北市,40,,良好,0.6,0.49,70,24.7,33,21,17.4,19.7,2.2,1.1,316,"2024-05-27 12:00",,0.3,12.3,24,0,121.507972,25.046503,13
中山,臺北市,45,,良好,,,61.5,21.9,23,,,,,2.3,6,"2024-05-27 12:00",,0.5,13.9,23,0,121.526528,25.062361,12
士林,臺北市,45,,良好,1.1,0.34,47.4,21.1,21,,13.9,15.8,1.9,2.8,330,"2024-05-27 12:00",,0.3,13.9,22,0,121.51666356,25.10334003,11
淡水,新北市,46,,良好,,0.31,39.3,19.4,,20,13.4,16.1,2.7,,,"2024-05-27 12:00",,0.4,14.1,30,0,121.449239,25.1645,10
林口,新北市,41,,良好,1,0.26,41.6,18.6,,16,11.1,14,2.8,,,"2024-05-27 12:00",,0.3,12.7,18,1,121.36548982,25.07798949,9
菜寮,新北市,33,,良好,1,0.4,60.3,23.1,23,16,15.4,17.2,1.8,1.9,9,"2024-05-27 12:00",,0.4,10.1,22,1,121.481028,25.06895,8
新莊,新北市,43,,良好,0.6,0.29,58,20.7,17,,8.3,10.1,1.8,2.1,59,"2024-05-27 12:00",,0.4,13.1,22,0,121.4325,25.037972,7
板橋,新北市,27,,良好,0.6,0.36,72.7,23.2,25,13,9.3,10.7,1.4,0.9,241,"2024-05-27 12:00",,0.4,8.3,22,0,121.458667,25.012972,6
土城,新北市,56,細懸浮微粒,普通,1,0.36,76.7,25.1,29,27,11,12,1,1.3,257,"2024-05-27 12:00",,0.4,17.7,30,0,121.451861,24.982528,5
新店,新北市,34,,良好,1.2,0.23,55.2,21.5,19,16,6.7,8.2,1.5,1.8,48,"2024-05-27 12:00",,0.2,10.6,20,1,121.537778,24.977222,4
萬里,新北市,19,,良好,1.3,0.17,40.5,20.6,16,5,3.9,5.7,1.7,2.1,54,"2024-05-27 12:00",,0.2,4,17,1,121.689881,25.179667,3
汐止,新北市,38,,良好,1.1,0.2,55.5,20.3,15,11,8.1,10.1,2,1.8,22,"2024-05-27 12:00",,0.3,11.7,25,1,121.64081,25.06624,2
基隆,基隆市,23,,良好,1.7,0.21,32.1,19.1,25,8,10.3,15.3,5,1,336,"2024-05-27 12:00",,0.3,7.1,21,1,121.760056,25.129167,1
屏東(枋山),屏東縣,10,,良好,0.1,0.07,22.7,11.9,12,2,0.8,1.4,0.5,1.4,177,"2024-05-27 11:00",,0,1.1,9,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,33,,良好,0.5,0.18,20.5,12.6,17,6,6.2,9.7,3.4,1.2,93,"2024-05-27 11:00",,0.2,10.1,23,0,120.65525382,24.39017512,312
新北(樹林),新北市,56,細懸浮微粒,普通,1.2,0.38,31.2,11.0,32,17,16.2,19.5,3.3,0.3,96,"2024-05-27 11:00",,0.3,17.5,34,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,22,,良好,1,0.15,12,6.3,18,8,5.5,9.2,3.6,0.5,118,"2024-05-27 11:00",,0.1,6.7,15,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,21,,良好,0.5,0.2,10.2,4.6,13,1,9.3,14.8,5.4,0.7,123,"2024-05-27 11:00",,0.1,3.1,21,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,19,,良好,1.5,0.22,10.2,4.3,9,5,9.6,14.1,4.5,0.8,51,"2024-05-27 11:00",,0.2,5.7,12,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,44,,良好,1.4,0.21,21,11.2,23,6,4,7,3,1.3,104,"2024-05-27 11:00",,0.2,13.6,26,1,120.56373,23.96117,201
大城,彰化縣,26,,良好,0.8,0.06,21.2,11.0,7,3,3.6,5.5,1.9,2.5,193,"2024-05-27 11:00",,0.1,8.1,22,1,120.26964167,23.85493056,85
富貴角,新北市,29,,良好,,0.17,51.2,31.0,19,,2.1,2.4,0.2,1.6,49,"2024-05-27 11:00",,0.1,5.2,17,0,121.53656894,25.29681695,84
麥寮,雲林縣,32,,良好,1.3,0.17,18.1,9.6,7,2,3.2,6,2.7,3,173,"2024-05-27 11:00",,0.2,9.9,18,1,120.251825,23.753506,83
關山,臺東縣,19,,良好,1,0.09,15.3,7.6,18,1,1.9,3,1.1,1.6,214,"2024-05-27 11:00",,0.1,2.5,19,0,121.161933,23.045083,80
馬公,澎湖縣,15,,良好,1,0.19,19.2,16.5,5,0,6.6,9.6,3,2.2,175,"2024-05-27 11:00",,0.1,2.3,6,1,119.566158,23.569031,78
金門,金門縣,11,,良好,0.7,0.16,18.9,11.8,2,5,5.7,8.5,2.8,2.6,204,"2024-05-27 11:00",,0.1,3.5,2,0,118.312256,24.432133,77
馬祖,連江縣,27,,良好,0.8,0.11,25.2,23.0,11,6,4.4,6.3,1.8,4.7,178,"2024-05-27 11:00",,0.1,8.3,16,0,119.93149378,26.15188416,75
埔里,南投縣,57,細懸浮微粒,普通,1.1,0.16,24.7,7.7,20,11,2.3,4.6,2.2,2.9,299,"2024-05-27 11:00",,0.2,17.9,35,1,120.967903,23.968842,72
復興,高雄市,22,,良好,2.8,0.4,17,6.9,23,11,13.1,21,7.8,1.8,77,"2024-05-27 11:00",,0.3,5.2,18,1,120.312017,22.608711,71
永和,新北市,35,,良好,1.3,0.84,35.5,11.9,22,10,21.2,29.6,8.3,1.4,290,"2024-05-27 11:00",,0.6,10.8,22,1,121.516306,25.017,70
竹山,南投縣,35,,良好,1.1,0.09,17.8,9.5,16,4,3,4.3,1.3,2.5,198,"2024-05-27 11:00",,0.1,10.7,25,1,120.677306,23.756389,69
中壢,桃園市,53,細懸浮微粒,普通,0.8,0.84,16.4,8.2,28,11,22,51.3,29.3,0.5,333,"2024-05-27 11:00",,1,16.2,31,1,121.221667,24.953278,68
三重,新北市,60,二氧化氮,普通,1.5,0.94,20,8.2,39,,43,86.3,43.3,-,-,"2024-05-27 11:00",,0.7,10.8,26,0,121.493806,25.072611,67
冬山,宜蘭縣,27,,良好,0.5,0.29,23,7.6,17,5,5.5,10.4,4.8,1.5,31,"2024-05-27 11:00",,0.2,5.3,27,0,121.792928,24.632203,66
宜蘭,宜蘭縣,19,,良好,0.9,0.2,24.4,11.4,14,3,3.9,5.7,1.8,1.8,17,"2024-05-27 11:00",,0.1,5.7,15,1,121.746394,24.747917,65
陽明,臺北市,23,,良好,1,0.23,36.3,26.0,15,7,3.7,4.7,1,,,"2024-05-27 11:00",,0.1,5.5,11,0,121.529583,25.182722,64
花蓮,花蓮縣,24,,良好,0.3,0.11,21.9,10.0,3,6,1.9,3.6,1.6,2.4,98,"2024-05-27 11:00",,0.1,7.5,10,0,121.599769,23.971306,63
臺東,臺東縣,18,,良好,0.4,0.2,20.6,9.5,21,1,4,6.9,2.8,2.7,187,"2024-05-27 11:00",,0.1,2.2,18,0,121.15045,22.755358,62
恆春,屏東縣,14,,良好,0,0.1,21,15.1,14,7,1.2,2.3,1.1,3.3,190,"2024-05-27 11:00",,0.1,3.9,11,0,120.788928,21.958069,61
潮州,屏東縣,23,,良好,0.6,0.08,20.4,6.6,15,5,1.4,1.6,0.1,2.3,230,"2024-05-27 11:00",,0.1,6.1,23,1,120.561175,22.523108,60
屏東,屏東縣,23,,良好,0.4,0.25,14.1,7.2,31,10,9,14.1,5,2.1,358,"2024-05-27 11:00",,0.2,5.2,23,0,120.488033,22.673081,59
小港,高雄市,38,,良好,2.5,0.3,12.9,4.0,33,15,16.1,25.6,9.4,1,124,"2024-05-27 11:00",,0.2,11.6,25,2,120.337736,22.565833,58
前鎮,高雄市,22,,良好,3.9,0.34,18,6.8,26,7,13.3,20.3,7,1,170,"2024-05-27 11:00",,0.3,5.5,20,1,120.30833356,22.6044507,57
前金,高雄市,18,,良好,2.4,0.35,19.3,8.2,17,6,10.8,15.7,4.8,2.7,172,"2024-05-27 11:00",,0.3,4.5,18,0,120.28676111,22.63390278,56
左營,高雄市,30,,良好,2.1,0.26,13.4,7.5,21,7,10.4,19.8,9.3,1.9,104,"2024-05-27 11:00",,0.2,9.2,18,1,120.292917,22.674861,54
楠梓,高雄市,22,,良好,0.8,0.16,10,3.3,19,7,9.5,17.7,8.1,2.2,64,"2024-05-27 11:00",,0.2,6.7,20,1,120.328289,22.733667,53
林園,高雄市,25,,良好,1.1,0.11,19.9,6.8,17,4,2.1,3.8,1.7,1.3,183,"2024-05-27 11:00",,0.1,6.6,25,1,120.41175,22.4795,52
大寮,高雄市,31,,良好,1.3,0.21,16.3,4.2,29,11,10.4,14.3,3.8,1.5,63,"2024-05-27 11:00",,0.2,9.5,28,2,120.425311,22.56413611,51
鳳山,高雄市,21,,良好,1.7,0.35,12.3,6.4,26,9,11.9,19.1,7.2,1.1,102,"2024-05-27 11:00",,0.3,5.9,21,1,120.357422,22.628126,50
仁武,高雄市,34,,良好,1.8,0.22,15,8.3,23,10,10,15.1,5.1,2,89,"2024-05-27 11:00",,0.2,10.4,26,1,120.332631,22.689056,49
橋頭,高雄市,20,,良好,1.3,0.11,12,5.2,10,4,8,15.2,7.2,2.1,85,"2024-05-27 11:00",,0.1,6.2,14,1,120.305689,22.757506,48
美濃,高雄市,13,,良好,1.3,0.14,11.7,7.3,8,0,3.4,4.6,1.2,1.9,55,"2024-05-27 11:00",,0.1,1,13,0,120.530542,22.883583,47
臺南,臺南市,32,,良好,0.7,0.21,12.4,9.4,13,7,9,13.5,4.4,1.4,136,"2024-05-27 11:00",,0.2,9.9,15,0,120.21947897,22.98928311,46
安南,臺南市,32,,良好,0.9,0.27,13.2,7.6,21,11,9.4,16.3,6.8,1.7,107,"2024-05-27 11:00",,0.2,10,20,0,120.2175,23.048197,45
善化,臺南市,22,,良好,1,0.1,14.2,8.0,7,4,4.7,7.2,2.4,1.8,108,"2024-05-27 11:00",,0.1,6.7,13,0,120.29740529,23.11337642,44
新營,臺南市,19,,良好,0.6,0.19,15,7.5,10,0,5.8,9,3.1,0.4,170,"2024-05-27 11:00",,0.2,2.2,19,0,120.31725,23.305633,43
嘉義,嘉義市,18,,良好,0.8,0.13,14.5,9.3,6,4,5.5,7.5,2,1.1,227,"2024-05-27 11:00",,0.1,5.5,15,1,120.44125148,23.46477865,42
臺西,雲林縣,25,,良好,0.9,0.13,18.5,9.3,9,2,4.2,5,0.8,3.4,171,"2024-05-27 11:00",,0.2,7.8,20,1,120.19933333,23.702175,41
朴子,嘉義縣,34,,良好,0.7,0.23,9.6,5.3,4,6,8.5,13.8,5.3,1.3,134,"2024-05-27 11:00",,0.2,10.4,18,1,120.2478,23.46538,40
新港,嘉義縣,31,,良好,0.1,0.19,19.7,10.8,13,6,6.2,8.6,2.4,0.5,111,"2024-05-27 11:00",,0.1,9.7,22,0,120.345531,23.554839,39
崙背,雲林縣,35,,良好,1.1,0.12,18,7.5,7,7,1.6,3.4,1.7,1.9,185,"2024-05-27 11:00",,0.2,10.7,19,1,120.348742,23.757547,38
斗六,雲林縣,30,,良好,0.9,0.21,14.4,11.4,,,6,8.7,2.6,1.9,175,"2024-05-27 11:00",,0.1,9.3,20,1,120.544994,23.711853,37
南投,南投縣,35,,良好,0.4,0.12,22.2,8.5,18,4,3.5,5.8,2.3,3.9,225,"2024-05-27 11:00",,0.1,10.7,28,0,120.685306,23.913,36
二林,彰化縣,44,,良好,0,0.11,24.1,9.9,15,7,1,2,0.9,3.3,196,"2024-05-27 11:00",,0.1,13.5,32,0,120.409653,23.925175,35
線西,彰化縣,38,,良好,0.9,0.11,21.4,10.5,11,4,2.9,4.8,1.9,4.9,210,"2024-05-27 11:00",,0.2,11.8,23,1,120.469061,24.131672,34
彰化,彰化縣,30,,良好,0.5,0.1,19.9,12.8,15,3,4.5,7,2.5,3.5,203,"2024-05-27 11:00",,0.2,9.2,17,1,120.541519,24.066,33
西屯,臺中市,45,,良好,1.3,0.14,17.7,8.7,19,5,6.3,9.6,3.3,3.7,200,"2024-05-27 11:00",,0.2,13.9,30,1,120.616917,24.162197,32
忠明,臺中市,44,,良好,1,0.24,14.4,10.9,,,9.7,14.7,4.9,2.2,192,"2024-05-27 11:00",,0.3,13.4,24,1,120.641092,24.151958,31
大里,臺中市,56,細懸浮微粒,普通,1.2,0.22,17.9,8.9,21,8,7.7,11,3.2,3.5,237,"2024-05-27 11:00",,0.3,17.4,29,1,120.67844444,24.09961111,30
沙鹿,臺中市,45,,良好,0.4,0.15,20.1,14.8,22,8,4.8,7.1,2.2,2.7,183,"2024-05-27 11:00",,0.2,14,25,1,120.568794,24.225628,29
豐原,臺中市,27,,良好,1.5,0.18,24.7,20.0,15,8,5.4,7.3,1.9,3.3,190,"2024-05-27 11:00",,0.1,8.2,15,1,120.74252414,24.25699731,28
三義,苗栗縣,24,,良好,1,0.16,24.2,19.3,9,3,3.3,5,1.6,3.1,189,"2024-05-27 11:00",,0.1,7.3,14,1,120.75956754,24.38248443,27
苗栗,苗栗縣,30,,良好,1.1,0.16,30.6,13.9,20,4,3.1,5.8,2.7,4.3,226,"2024-05-27 11:00",,0.1,9.2,18,1,120.82011468,24.56499183,26
頭份,苗栗縣,39,,良好,0.9,0.18,31.6,12.0,24,4,3.4,5.7,2.3,4.4,230,"2024-05-27 11:00",,0.2,12.1,24,1,120.89869286,24.69690679,25
新竹,新竹市,36,,良好,0.7,0.27,27.6,11.0,20,2,9.1,12.8,3.6,3.8,238,"2024-05-27 11:00",,0.3,11.2,24,0,120.97236752,24.8056356,24
竹東,新竹縣,42,,良好,0.6,0.16,27.6,12.4,13,11,3.3,4.4,1.1,0.7,234,"2024-05-27 11:00",,0.2,13,21,1,121.08895493,24.74091408,23
湖口,新竹縣,57,細懸浮微粒,普通,1.3,0.15,30,15.0,19,10,4,6.1,2.1,4.6,250,"2024-05-27 11:00",,0.2,17.8,23,1,121.03886894,24.90009696,22
龍潭,桃園市,41,,良好,0.5,0.17,26.7,13.7,19,7,5.2,7.9,2.7,3.5,221,"2024-05-27 11:00",,0.2,12.6,22,1,121.21645772,24.86400048,21
平鎮,桃園市,32,,良好,0,0.22,30.2,14.4,24,4,8.2,10.4,2.2,2.2,292,"2024-05-27 11:00",,0.3,10,25,0,121.203986,24.952786,20
觀音,桃園市,59,細懸浮微粒,普通,0.8,0.16,28.7,13.8,18,8,4.6,6.1,1.5,4.2,250,"2024-05-27 11:00",,0.2,18.9,27,0,121.08283092,25.03556747,19
大園,桃園市,46,,良好,0.9,0.21,28.9,11.9,21,7,8.3,11.3,3,2.2,243,"2024-05-27 11:00",,0.3,14.3,29,1,121.20251473,25.06100357,18
桃園,桃園市,44,,良好,1.2,0.25,35.1,11.8,14,10,8.2,10.8,2.6,2.4,259,"2024-05-27 11:00",,0.5,13.5,27,2,121.30500531,24.9947107,17
